min,max,count,mean,year,month,type,index,lat,long
4.0,27.0,100,16.12,0s_e,ev,2.1_,208,23.94278,71.33144
10.0,33.0,90,21.177777777777777,0s_e,ev,2.1_,209,23.94278,71.41106
18.0,33.0,100,25.3,0s_e,ev,2.1_,210,23.94278,71.49069
28.0,37.0,90,32.01111111111111,0s_e,ev,2.1_,211,23.94278,71.57031
34.0,43.0,100,38.41,0s_e,ev,2.1_,212,23.94278,71.64994
42.0,52.0,90,46.13333333333333,0s_e,ev,2.1_,213,23.94278,71.72956
43.0,60.0,100,51.88,0s_e,ev,2.1_,214,23.94278,71.80919
51.0,69.0,90,56.855555555555554,0s_e,ev,2.1_,215,23.94278,71.88882
54.0,73.0,100,63.2,0s_e,ev,2.1_,216,23.94278,71.96844
63.0,81.0,100,70.88,0s_e,ev,2.1_,217,23.94278,72.04807
72.0,92.0,90,83.56666666666666,0s_e,ev,2.1_,218,23.94278,72.12769
88.0,114.0,100,99.89,0s_e,ev,2.1_,219,23.94278,72.20732
100.0,129.0,90,116.61111111111111,0s_e,ev,2.1_,220,23.94278,72.28694
120.0,157.0,100,135.04,0s_e,ev,2.1_,221,23.94278,72.36657
135.0,170.0,90,152.82222222222222,0s_e,ev,2.1_,222,23.94278,72.44619
151.0,185.0,100,170.73,0s_e,ev,2.1_,223,23.94278,72.52582
165.0,208.0,90,186.9,0s_e,ev,2.1_,224,23.94278,72.60544
179.0,254.0,100,203.36,0s_e,ev,2.1_,225,23.94278,72.68507
146.0,373.0,100,223.22,0s_e,ev,2.1_,226,23.94278,72.76469
148.0,250.0,90,172.33333333333334,0s_e,ev,2.1_,227,23.94278,72.84432
173.0,272.0,100,197.25,0s_e,ev,2.1_,228,23.94278,72.92394
198.0,262.0,90,217.98888888888888,0s_e,ev,2.1_,229,23.94278,73.00357
213.0,249.0,100,228.81,0s_e,ev,2.1_,230,23.94278,73.08319
225.0,569.0,90,307.6333333333333,0s_e,ev,2.1_,231,23.94278,73.16282
271.0,553.0,100,380.24,0s_e,ev,2.1_,232,23.94278,73.24244
259.0,481.0,90,338.3666666666667,0s_e,ev,2.1_,233,23.94278,73.32207
287.0,551.0,100,388.51,0s_e,ev,2.1_,234,23.94278,73.40169
0.0,3.0,81,1.3580246913580247,0s_e,ev,2.1_,235,23.86218,70.13706
1.0,108.0,90,15.6,0s_e,ev,2.1_,236,23.86218,70.21669
7.0,157.0,81,66.51851851851852,0s_e,ev,2.1_,237,23.86218,70.29631
2.0,122.0,90,34.34444444444444,0s_e,ev,2.1_,238,23.86218,70.37594
0.0,20.0,81,2.925925925925926,0s_e,ev,2.1_,239,23.86218,70.45556
-1.0,10.0,90,1.5777777777777777,0s_e,ev,2.1_,240,23.86218,70.53519
0.0,47.0,90,15.411111111111111,0s_e,ev,2.1_,241,23.86218,70.61481
14.0,97.0,81,39.60493827160494,0s_e,ev,2.1_,242,23.86218,70.69444
14.0,125.0,90,42.48888888888889,0s_e,ev,2.1_,243,23.86218,70.77406
2.0,129.0,81,40.54320987654321,0s_e,ev,2.1_,244,23.86218,70.85369
0.0,3.0,81,1.876543209876543,0s_e,ev,2.1_,245,23.86218,71.01294
0.0,53.0,90,17.466666666666665,0s_e,ev,2.1_,246,23.86218,71.09256
12.0,58.0,81,36.25925925925926,0s_e,ev,2.1_,247,23.86218,71.17219
10.0,47.0,90,22.11111111111111,0s_e,ev,2.1_,248,23.86218,71.25181
7.0,28.0,90,18.18888888888889,0s_e,ev,2.1_,249,23.86218,71.33144
12.0,19.0,81,15.012345679012345,0s_e,ev,2.1_,250,23.86218,71.41106
16.0,27.0,90,21.633333333333333,0s_e,ev,2.1_,251,23.86218,71.49069
24.0,33.0,81,28.40740740740741,0s_e,ev,2.1_,252,23.86218,71.57031
28.0,39.0,90,32.82222222222222,0s_e,ev,2.1_,253,23.86218,71.64994
32.0,42.0,81,37.4320987654321,0s_e,ev,2.1_,254,23.86218,71.72956
38.0,49.0,90,42.766666666666666,0s_e,ev,2.1_,255,23.86218,71.80919
43.0,53.0,81,48.75308641975309,0s_e,ev,2.1_,256,23.86218,71.88882
51.0,65.0,90,57.333333333333336,0s_e,ev,2.1_,257,23.86218,71.96844
62.0,76.0,90,68.66666666666667,0s_e,ev,2.1_,258,23.86218,72.04807
73.0,87.0,81,81.12345679012346,0s_e,ev,2.1_,259,23.86218,72.12769
84.0,102.0,90,92.63333333333334,0s_e,ev,2.1_,260,23.86218,72.20732
97.0,118.0,81,107.72839506172839,0s_e,ev,2.1_,261,23.86218,72.28694
112.0,137.0,90,123.1,0s_e,ev,2.1_,262,23.86218,72.36657
127.0,158.0,81,140.39506172839506,0s_e,ev,2.1_,263,23.86218,72.44619
137.0,167.0,90,151.86666666666667,0s_e,ev,2.1_,264,23.86218,72.52582
150.0,176.0,81,163.44444444444446,0s_e,ev,2.1_,265,23.86218,72.60544
165.0,186.0,90,175.48888888888888,0s_e,ev,2.1_,266,23.86218,72.68507
141.0,181.0,90,161.53333333333333,0s_e,ev,2.1_,267,23.86218,72.76469
146.0,296.0,81,174.11111111111111,0s_e,ev,2.1_,268,23.86218,72.84432
170.0,284.0,90,201.15555555555557,0s_e,ev,2.1_,269,23.86218,72.92394
198.0,324.0,81,235.50617283950618,0s_e,ev,2.1_,270,23.86218,73.00357
188.0,222.0,90,205.36666666666667,0s_e,ev,2.1_,271,23.86218,73.08319
207.0,393.0,81,242.37037037037038,0s_e,ev,2.1_,272,23.86218,73.16282
225.0,555.0,90,350.9222222222222,0s_e,ev,2.1_,273,23.86218,73.24244
228.0,425.0,81,285.4320987654321,0s_e,ev,2.1_,274,23.86218,73.32207
294.0,535.0,90,398.0444444444444,0s_e,ev,2.1_,275,23.86218,73.40169
1.0,5.0,90,2.3666666666666667,0s_e,ev,2.1_,276,23.78158,70.13706
0.0,3.0,100,1.79,0s_e,ev,2.1_,277,23.78158,70.21669
-2.0,15.0,90,2.966666666666667,0s_e,ev,2.1_,278,23.78158,70.29631
